PIP region,year,"Prosperity Gap, z=25/day","Prosperity Gap regional contribution to global, z=25/day","Inequality, z=ybar","Mean, $/day"
EAP,1990,16.95011520385742,5.127699851989746,1.61398458480835,2.380491971969604
EAP,1991,16.58856201171875,5.011239528656006,1.630916595458984,2.457893371582031
EAP,1992,16.01788520812988,4.829705238342285,1.656832695007324,2.585910320281982
EAP,1993,15.41185760498047,4.637617588043213,1.660845637321472,2.694103717803955
EAP,1994,14.34455013275146,4.308238983154297,1.653165817260742,2.881173849105835
EAP,1995,13.44887542724609,4.030949592590332,1.661436438560486,3.088430166244507
EAP,1996,12.65657806396484,3.785005569458008,1.681564331054688,3.32152247428894
EAP,1997,12.67532634735107,3.782241821289063,1.72302770614624,3.398389339447021
EAP,1998,12.91956043243408,3.84563136100769,1.742515444755554,3.37185525894165
EAP,1999,12.36332607269287,3.669171094894409,1.757544040679932,3.553946733474731
EAP,2000,11.65678691864014,3.447442531585693,1.751739621162415,3.756909132003784
EAP,2001,11.22320461273193,3.30629825592041,1.774112343788147,3.951884508132935
EAP,2002,10.49867725372314,3.079995632171631,1.801278471946716,4.289298534393311
EAP,2003,9.833569526672363,2.872419118881226,1.78571605682373,4.539846897125244
EAP,2004,9.17397403717041,2.667730093002319,1.780996441841125,4.853394031524658
EAP,2005,8.287060737609863,2.399000406265259,1.761461615562439,5.313890933990479
EAP,2006,8.111250877380371,2.337193250656128,1.802716970443726,5.55622386932373
EAP,2007,7.567772388458252,2.170153856277466,1.813897371292114,5.992177486419678
EAP,2008,7.295590400695801,2.081825017929077,1.842581391334534,6.314024448394775
EAP,2009,6.886322975158691,1.955299139022827,1.851621508598328,6.722097873687744
EAP,2010,6.324028968811035,1.786783337593079,1.87851893901825,7.426116466522217
EAP,2011,5.818008422851563,1.636685132980347,1.843672156333923,7.92226505279541
EAP,2012,5.436052322387695,1.5234375,1.852724552154541,8.520542144775391
EAP,2013,4.65554666519165,1.299598932266235,1.741620898246765,9.352396965026855
EAP,2014,4.356498241424561,1.211097002029419,1.731880903244019,9.938492774963379
EAP,2015,4.060092449188232,1.123883485794067,1.716158509254456,10.56723785400391
EAP,2016,3.83083176612854,1.056006073951721,1.711258888244629,11.1676721572876
EAP,2017,3.666176795959473,1.006757259368896,1.719974279403687,11.72866439819336
EAP,2018,3.451702356338501,.9436529278755188,1.708179950714111,12.37201023101807
EAP,2019,3.256839275360107,.8860670924186707,1.693101048469543,12.99650478363037
ECA,1990,3.549200057983398,.3111265301704407,2.057557344436646,14.4931058883667
ECA,1991,3.797641515731812,.3290474116802216,2.021148681640625,13.30528926849365
ECA,1992,4.286753177642822,.3667376339435577,2.041725397109985,11.90717792510986
ECA,1993,4.743866443634033,.4005930423736572,1.99623715877533,10.52009582519531
ECA,1994,5.291084289550781,.4408338963985443,2.132932186126709,10.07795429229736
ECA,1995,5.042497634887695,.4142892956733704,2.19971489906311,10.90587902069092
ECA,1996,5.259321212768555,.4263031184673309,2.195822477340698,10.43776512145996
ECA,1997,5.038475513458252,.402945876121521,2.081978797912598,10.33039951324463
